,Normal_Samples,Exponential_Samples,Bimodal_Samples
91,57.64,6.67,29.89
92,56.35,1.25,27.58
93,54.05,14.63,21.97
94,56.4,27.04,14.22
95,42.72,7.94,14.03
96,60.37,57.4,35.68
97,55.1,2.29,32.4
98,62.85,8.14,43.59
99,49.58,11.37,21.61
100,49.88,16.78,27.03
101,49.01,35.23,27.2
102,41.33,6.68,18.74
103,38.99,7.1,25.12
104,44.18,26.56,41.33
105,65.2,3.16,23.19
106,57.85,4.77,26.72
107,68.99,13.96,19.23
108,42.76,26.9,33.14
109,39.93,12.91,27.17
110,36.23,38.29,33.3
111,35.0,4.07,37.16
112,45.17,4.81,31.15
113,45.88,21.95,15.65
114,49.9,13.64,32.13
115,56.25,36.47,22.29
116,44.53,15.42,29.93
117,52.97,5.17,94.11
118,60.08,4.78,44.29
119,45.55,7.57,36.86
120,44.59,16.79,24.15
121,58.14,14.63,33.98
122,43.24,10.25,99.92
123,29.37,21.77,104.08
124,30.19,6.33,18.36
125,69.69,8.31,22.48
126,42.41,8.19,19.88
127,32.45,3.6,37.77
128,51.3,12.91,29.05
129,46.93,1.39,24.85
130,33.56,20.18,47.06
131,47.65,31.05,33.14
132,48.69,1.48,25.2
133,64.74,1.62,5.17
134,61.35,3.87,13.25
135,54.0,3.39,37.46
136,30.73,14.89,16.06
137,56.09,7.68,100.19
138,56.69,22.02,27.78
139,47.1,21.42,23.34
140,49.44,16.21,21.93
141,43.7,25.33,99.97
142,33.52,6.96,27.42
143,66.91,7.27,25.25
144,68.65,9.65,37.32
145,40.22,5.42,32.16
146,46.63,33.61,27.44
147,66.15,1.61,30.62
148,48.18,12.24,25.43
149,49.98,10.88,26.83
150,50.14,16.05,43.38
151,57.67,1.3,23.82
152,51.49,23.93,23.44
153,38.92,8.26,29.8
154,54.15,6.12,25.29
155,59.95,3.58,15.76
156,62.49,8.93,32.54
157,37.21,7.45,33.41
158,52.01,7.15,18.03
159,34.82,17.39,26.84
160,43.66,7.24,29.43
161,49.52,16.86,24.58
162,52.64,11.84,36.82
163,46.36,9.27,32.44
164,43.43,15.09,32.42
165,34.24,6.53,30.53
166,65.92,6.31,31.42
167,49.89,11.89,29.1
168,54.25,6.71,24.9
169,67.41,3.15,44.58
170,45.71,8.38,28.79
171,61.43,35.45,24.24
172,37.08,1.44,28.0
173,52.75,3.2,16.87
174,61.18,6.89,29.8
175,55.9,1.03,27.57
176,51.0,4.48,27.26
177,54.33,22.74,20.27
178,48.23,5.51,25.01
179,57.82,47.04,34.71
180,38.73,3.3,34.36
181,56.05,19.74,17.23
182,36.17,1.62,38.96
183,26.3,5.38,20.54
184,44.31,5.95,27.87
185,36.4,21.15,11.86
186,50.52,12.95,15.98
187,56.14,10.94,28.94
188,66.77,3.29,34.89
189,60.91,3.72,34.44
190,49.53,14.44,23.48
191,60.47,14.54,45.14
192,43.21,4.47,34.05
193,58.54,16.67,26.23
194,57.56,16.39,30.63
195,32.51,3.0,33.95
196,50.93,13.94,30.03
197,59.79,19.53,29.3
198,32.46,32.76,79.9
199,51.18,12.82,95.63
200,36.75,5.84,94.21
201,67.91,10.04,100.88
202,65.43,3.28,17.31
203,26.98,20.98,17.43
204,49.63,20.05,19.77
205,52.87,8.95,34.05
206,50.89,1.68,39.19
207,62.59,9.58,40.07
208,51.61,3.78,19.2
209,53.96,67.02,17.29
210,45.08,6.57,34.82
211,46.56,10.4,40.32
212,40.53,10.13,99.47
213,47.01,17.5,24.06
214,56.48,2.71,29.46
215,59.03,1.79,22.9
216,75.06,26.56,105.27
217,48.32,10.14,42.62
218,44.04,2.64,81.32
219,37.58,12.13,27.93
220,51.81,11.41,33.05
221,45.96,9.25,32.23
222,67.73,3.03,93.73
223,66.36,46.6,102.88
224,64.47,7.48,46.03
225,50.6,3.66,15.25
226,59.47,36.96,30.12
227,45.8,11.16,32.0
228,24.42,14.76,42.76
229,42.87,5.33,18.67
230,58.18,12.82,22.94
231,54.29,10.35,31.17
232,59.19,10.56,27.67
233,54.56,4.34,40.34
234,41.05,1.38,44.12
235,47.35,19.62,36.81
236,48.65,7.61,33.56
237,50.12,41.5,34.35
238,69.29,8.49,9.9
239,47.31,9.21,38.28
240,47.68,12.13,39.16
241,54.2,12.92,110.2
242,38.41,6.03,107.66
243,60.88,8.83,11.91
244,54.78,16.78,91.55
245,51.7,24.2,91.99
246,28.55,24.19,23.34
247,69.96,2.52,37.99
248,53.55,24.52,118.52
249,48.08,6.54,25.22
250,45.39,21.12,39.74
251,47.09,30.92,33.6
252,59.03,6.38,111.81
253,57.92,5.74,24.25
254,54.29,4.5,30.59
255,50.57,5.31,17.91
256,41.91,16.31,22.66
257,46.75,2.71,25.98
258,43.48,3.54,87.54
259,49.31,12.59,30.95
260,47.23,6.36,16.37
261,43.57,7.32,13.58
262,65.04,10.78,112.89
263,51.82,4.85,30.12
264,67.28,1.52,26.58
265,56.12,3.36,34.37
266,51.48,13.85,34.57
267,49.8,1.73,36.69
268,56.84,25.37,17.87
269,45.82,1.14,33.39
270,39.39,3.01,22.21
271,49.32,22.04,43.01
272,57.71,20.62,98.46
273,53.62,4.17,108.48
274,56.53,2.34,24.9
275,49.3,8.37,97.97
276,58.18,15.64,34.76
277,41.24,3.52,28.56
278,67.02,16.45,87.19
279,61.8,1.51,35.2
280,59.6,2.72,31.9
281,55.88,4.75,33.45
282,53.41,19.46,31.68
283,67.08,5.52,14.5
284,46.44,4.53,33.02
285,58.29,2.68,27.91
286,60.43,3.25,23.37
287,51.93,12.95,105.28
288,43.52,14.51,22.9
289,58.8,11.01,35.4
290,51.28,5.57,27.77
291,41.57,7.82,23.68
292,55.64,3.59,108.89
293,42.37,11.88,29.62
294,33.6,4.54,43.62
295,62.9,10.43,17.54
296,68.89,4.12,39.96
297,45.05,11.32,16.48
298,59.31,1.21,37.34
299,39.61,32.55,95.5
300,24.25,17.6,36.51
301,34.53,43.96,97.12
302,73.64,1.8,28.43
303,58.21,7.54,38.49
304,63.88,6.85,38.0
305,61.77,14.22,35.84
306,47.04,7.23,29.57
307,44.98,2.97,26.93
308,48.11,9.02,46.48
309,33.09,1.76,10.01
310,36.34,11.22,31.79
311,48.96,24.77,49.83
312,42.3,7.31,106.28
313,27.71,2.19,43.67
314,63.32,39.05,30.81
315,54.58,4.61,98.5
316,44.57,14.79,37.64
317,49.08,4.91,38.97
318,57.27,4.75,111.04
319,55.01,12.77,95.78
320,41.15,4.84,97.22
321,55.67,12.51,28.47
322,54.65,1.96,30.19
323,51.42,15.88,33.95
324,58.8,4.33,24.36
325,41.2,1.3,17.24
326,46.02,3.14,24.0
327,43.46,2.35,36.14
328,31.3,21.46,36.59
329,58.94,2.65,31.49
330,63.24,4.91,21.02
331,53.68,25.54,14.64
332,41.03,32.97,21.84
333,60.89,2.75,21.62
334,49.53,3.95,37.95
335,71.47,6.14,17.46
336,51.99,6.28,24.81
337,42.59,6.29,19.12
338,31.12,16.95,33.95
339,73.28,2.69,30.9
340,52.74,8.2,46.32
341,45.66,1.75,37.25
342,45.35,9.44,23.62
343,38.22,1.88,37.35
344,49.13,34.88,104.9
345,51.86,13.95,19.68
346,42.16,12.23,34.52
347,39.01,6.43,23.41
348,43.53,20.21,39.58
349,48.18,24.62,18.08
350,47.84,11.74,26.78
351,52.02,6.47,26.56
352,46.89,3.77,16.03
353,42.27,8.76,105.43
354,31.18,2.4,29.63
355,46.32,4.99,30.88
356,32.68,6.02,25.71
357,53.51,3.54,28.36
358,37.21,14.16,29.44
359,38.81,1.52,32.92
360,42.95,10.19,34.48
361,53.06,12.28,41.97
362,48.16,4.89,97.73
363,56.09,27.83,14.99
364,53.92,9.84,89.45
365,53.56,1.78,22.14
366,47.02,3.28,24.79
367,33.76,31.04,26.17
368,49.81,3.0,29.97
369,45.81,10.2,38.5
370,39.37,1.97,80.45
371,63.97,8.05,111.65
372,44.94,4.94,24.99
373,44.91,1.34,34.22
374,40.71,22.54,17.3
375,26.44,7.65,42.15
376,63.27,10.11,93.78
377,35.49,15.09,26.52
378,68.81,6.49,34.87
379,50.18,8.63,29.7
380,36.48,1.88,31.08
381,33.35,2.34,36.96
382,52.53,33.1,28.82
383,63.93,6.34,29.94
384,40.62,10.79,42.02
385,42.67,3.13,24.22
386,46.74,11.21,31.0
387,47.1,20.1,31.77
388,44.52,21.7,18.87
389,53.04,6.73,19.2
390,58.63,29.71,121.51
391,37.26,6.13,41.54
392,39.47,7.55,52.02
393,53.61,6.63,30.66
394,45.79,8.88,99.88
395,41.09,7.41,30.31
396,64.98,7.52,41.91
397,43.6,2.89,25.62
398,35.41,8.26,34.24
399,42.98,6.72,34.05
400,57.66,8.56,23.67
401,32.84,22.86,47.92
402,44.78,4.42,102.79
403,71.28,7.31,24.98
404,50.87,2.95,25.55
405,64.19,32.89,27.09
406,50.39,1.0,33.34
407,41.27,1.32,32.05
408,38.31,1.55,31.87
409,51.42,20.1,22.67
410,54.86,5.79,30.37
411,49.24,22.47,46.43
412,33.67,11.37,22.95
413,59.48,30.05,27.49
414,67.71,11.07,18.42
415,47.32,8.69,40.34
416,50.52,16.65,25.73
417,45.09,4.64,26.24
418,55.45,9.33,15.43
419,41.55,6.76,14.53
420,62.07,8.98,29.17
421,40.29,2.9,32.36
422,46.3,2.31,26.93
423,59.81,16.71,18.5
424,55.2,20.87,22.76
425,50.49,27.02,29.3
426,42.36,10.55,17.6
427,59.46,2.69,27.34
428,62.65,15.29,48.09
429,40.16,2.36,34.01
430,57.86,12.02,16.19
431,41.32,12.61,42.44
432,65.84,9.8,39.47
433,45.1,6.66,27.32
434,43.95,2.12,33.43
435,55.78,12.58,29.08
436,44.04,52.05,35.65
437,55.82,3.43,29.52
438,42.67,9.32,34.84
439,35.94,12.15,47.62
440,59.63,15.43,39.89
441,73.39,9.53,34.7
442,60.39,2.96,34.05
443,34.81,8.79,30.21
444,47.61,14.27,24.31
445,42.79,1.5,26.83
446,47.93,1.02,14.51
447,46.96,15.89,23.52
448,75.04,1.09,96.62
449,45.37,15.12,28.17
450,48.23,11.28,115.18
451,64.01,4.34,105.71
452,28.84,1.04,32.72
453,49.27,12.3,22.27
454,43.56,1.05,57.4
455,67.04,17.38,29.4
456,51.91,8.96,33.7
457,53.95,4.21,35.6
458,46.37,11.47,26.04
459,51.43,4.83,26.0
460,29.04,3.93,21.29
461,47.04,24.08,33.26
462,27.68,14.74,26.97
463,44.31,21.75,18.47
464,37.06,14.75,27.59
465,35.69,5.63,31.45
466,51.31,6.2,28.29
467,54.21,11.61,31.11
468,42.39,22.9,41.96
469,42.88,5.54,27.39
470,55.19,11.66,93.88
471,35.81,17.45,26.4
472,54.11,7.63,35.97
473,43.89,17.71,104.79
474,42.81,8.6,34.63
475,60.18,8.64,33.25
476,33.78,14.58,36.43
477,47.13,28.41,29.33
478,43.9,21.97,33.56
479,50.97,1.19,34.86
480,50.34,1.07,99.65
481,51.29,2.21,30.41
482,48.95,18.63,34.65
483,61.48,30.24,17.74
484,55.71,4.18,28.84
485,58.59,4.49,33.21
486,46.73,14.84,30.95
487,55.54,53.87,30.28
488,36.27,16.99,18.07
489,57.81,3.21,31.71
490,68.44,4.68,34.33
491,44.4,1.73,32.45
492,39.91,9.78,16.9
493,47.5,10.79,102.02
494,44.21,23.15,38.72
495,48.89,16.68,30.33
496,37.93,13.67,23.73
497,48.44,8.55,40.18
498,62.94,18.27,51.04
499,45.34,25.6,37.56
500,40.94,31.28,37.19
501,45.52,1.33,85.61
502,44.73,4.4,42.74
503,53.86,13.58,56.08
504,63.12,2.35,27.53
505,55.73,18.59,38.98
506,53.48,19.16,31.86
507,44.82,1.17,33.67
508,47.45,1.87,27.26
509,61.02,3.53,20.16
510,54.0,1.56,33.53
511,54.25,20.22,45.23
512,33.12,4.39,28.3
513,47.17,3.09,30.45
514,33.06,4.93,36.17
515,33.02,5.57,36.65
516,58.52,14.57,37.9
517,44.08,2.28,35.89
518,54.73,5.35,22.69
519,42.24,2.98,24.21
520,63.84,1.51,23.97
521,35.77,4.11,24.89
522,41.46,28.66,29.71
523,43.42,12.16,20.26
524,60.45,1.56,23.43
525,39.96,1.65,31.35
526,54.23,10.72,37.89
527,44.67,9.11,43.77
528,60.99,9.86,43.14
529,57.31,32.44,28.73
530,45.06,4.87,8.56
531,40.98,11.29,43.83
532,63.69,2.14,40.35
533,50.52,14.09,29.81
534,58.43,24.12,44.52
535,59.06,4.67,38.86
536,43.33,12.97,26.43
537,41.07,12.57,25.91
538,53.02,1.19,28.01
539,47.13,10.93,18.83
540,57.75,25.22,32.95
541,51.01,7.24,136.01
542,39.12,3.15,22.55
543,50.63,27.89,103.58
544,51.44,19.91,37.91
545,70.88,30.82,36.53
546,49.44,29.78,28.43
547,73.13,7.82,31.49
548,49.64,28.96,38.64
549,52.72,8.15,27.25
550,36.78,17.1,42.56
551,60.98,11.82,28.17
552,56.67,9.05,22.37
553,44.72,4.3,20.26
554,51.7,6.04,38.83
555,51.24,23.47,27.66
556,55.98,22.06,23.98
557,63.86,9.09,107.65
558,34.13,6.48,93.93
559,29.77,16.16,35.96
560,41.42,20.65,31.19
561,60.64,40.51,34.51
562,37.49,9.66,37.77
563,54.71,5.79,31.28
564,46.04,6.73,34.29
565,39.69,46.1,25.19
566,50.91,7.21,33.46
567,38.43,17.29,32.27
568,25.65,4.92,26.96
569,43.37,5.67,102.29
570,36.8,36.3,29.21
571,71.65,1.39,39.59
572,43.73,5.09,24.75
573,76.55,21.1,113.6
574,38.45,5.41,33.27
575,67.64,13.73,91.5
576,38.92,17.46,104.13
577,48.61,27.67,35.41
578,37.58,8.63,25.48
579,52.05,5.56,27.32
580,27.81,7.81,21.78
581,50.36,23.37,32.53
582,52.3,4.8,94.48
583,55.14,4.88,29.34
584,31.49,19.0,30.46
585,31.8,3.04,18.38
586,44.14,4.22,21.87
587,33.65,23.57,41.92
588,64.77,5.73,29.07
589,44.75,20.09,32.12
590,51.98,2.8,36.71
591,61.2,6.06,31.62
592,62.93,4.25,32.27
593,48.31,1.92,13.94
594,66.13,2.88,28.95
595,49.65,13.96,27.01
596,63.64,19.24,40.43
597,36.31,3.87,51.63
598,44.74,32.51,29.55
599,75.3,2.48,25.32
600,48.19,10.53,14.73
601,56.79,14.95,99.17
602,48.31,5.79,37.73
603,49.96,2.61,36.79
604,45.15,3.28,29.02
605,55.29,15.61,37.53
606,44.01,5.33,36.49
607,48.08,7.51,27.34
608,50.63,21.34,11.61
609,56.91,15.44,24.5
610,61.44,2.58,17.12
611,52.18,2.71,25.05
612,30.54,5.42,108.3
613,61.57,15.05,12.2
614,52.49,21.45,18.06
615,72.54,22.25,39.05
616,41.9,1.87,24.56
617,39.97,2.82,25.87
618,66.1,3.6,37.04
619,44.0,1.98,32.92
620,40.13,9.72,30.18
621,30.78,9.6,106.52
622,54.46,1.73,45.91
623,52.05,22.4,99.88
624,63.29,2.43,25.71
625,52.51,2.92,26.87
626,43.04,12.72,31.69
627,53.17,15.11,35.7
628,49.49,6.86,28.62
629,62.29,10.15,37.39
630,56.53,2.41,34.91
631,62.03,4.62,24.61
632,43.11,16.64,16.84
633,49.36,4.81,23.86
634,43.17,10.23,19.55
635,43.02,11.33,27.67
636,48.76,5.82,37.16
637,65.32,2.19,40.68
638,44.55,7.96,40.81
639,39.81,20.47,28.02
640,46.44,12.18,24.64
641,43.98,12.3,36.97
642,54.87,7.29,26.44
643,59.52,6.6,22.24
644,50.95,8.71,36.63
645,54.47,18.4,27.79
646,21.24,5.01,33.38
647,54.08,8.68,18.26
648,49.94,16.31,24.59
649,47.17,12.46,30.58
650,35.87,14.56,24.54
651,49.17,1.07,22.78
652,54.79,17.98,34.44
653,52.2,3.1,32.93
654,61.13,28.09,15.27
655,55.89,2.93,35.23
656,54.83,18.29,31.88
657,50.12,2.39,27.68
658,63.76,7.3,31.32
659,33.54,12.88,57.44
660,59.0,1.53,40.48
661,34.45,1.34,20.02
662,48.01,5.7,29.8
663,65.92,9.51,23.59
664,57.33,13.08,28.61
665,38.16,1.23,24.77
666,47.54,4.22,18.29
667,40.3,13.14,32.8
668,57.15,7.02,34.95
669,63.07,3.93,33.82
670,43.92,50.42,27.89
671,27.02,1.31,114.99
672,56.08,7.07,43.79
673,50.47,3.04,24.32
674,54.6,14.64,36.14
675,28.58,1.63,97.33
676,48.68,4.8,20.79
677,67.51,8.05,92.45
678,44.05,10.75,41.95
679,63.56,1.01,99.16
680,43.24,8.24,36.34
681,50.75,1.42,28.49
682,62.44,25.41,28.59
683,65.93,4.85,24.03
684,55.02,32.15,36.79
685,45.65,4.84,15.38
686,53.64,16.57,19.0
687,63.68,3.9,34.2
688,64.99,3.3,45.02
689,53.75,8.18,38.07
690,52.77,15.69,21.91
691,36.43,12.34,36.69
692,60.3,39.97,103.59
693,39.36,19.37,42.48
694,35.85,39.86,39.95
695,41.77,12.74,23.73
696,58.55,6.57,31.51
697,46.63,16.61,31.9
698,52.1,14.07,27.75
699,59.15,2.68,31.07
700,49.01,19.56,26.72
701,57.2,7.72,27.87
702,57.15,23.43,34.6
703,43.0,18.62,25.54
704,50.14,2.62,40.05
705,59.87,5.79,29.26
706,37.91,9.49,29.55
707,46.33,2.84,33.54
708,58.28,6.68,34.28
709,46.56,3.4,13.32
710,59.61,5.82,29.63
711,33.52,8.67,39.43
712,36.82,6.04,27.9
713,48.74,2.65,33.59
714,59.73,5.24,36.67
715,32.58,2.74,41.73
716,30.38,1.88,27.25
717,56.46,3.53,40.78
718,39.69,25.93,19.98
719,46.79,14.17,24.92
720,63.43,3.49,25.21
721,48.1,22.46,31.4
722,45.35,11.66,35.93
723,49.54,13.56,31.09
724,56.08,26.98,44.28
725,52.13,6.18,29.75
726,58.98,11.79,41.12
727,58.33,12.52,36.06
728,44.9,5.21,43.66
729,41.48,2.99,37.09
730,65.66,12.4,31.8
731,46.24,3.82,11.21
732,59.2,13.17,1.72
733,49.7,5.2,27.15
734,58.12,5.54,14.64
735,45.76,11.61,92.56
736,29.38,6.81,18.25
737,38.22,3.38,25.37
738,35.15,7.32,30.21
739,37.86,17.88,22.99
740,53.31,8.8,41.26
741,33.99,4.47,33.02
742,61.71,28.5,37.21
743,46.35,2.02,25.09
744,39.58,3.92,26.29
745,35.78,20.9,24.92
746,54.37,20.6,36.66
747,51.59,7.79,30.23
748,46.84,6.5,22.2
749,42.9,12.8,89.77
750,41.27,37.35,20.87
751,56.6,1.14,23.47
752,45.18,5.38,24.9
753,69.95,3.38,98.21
754,43.52,32.48,16.55
755,44.6,2.44,27.45
756,41.05,8.91,25.45
757,36.69,9.0,34.77
758,57.92,30.28,113.44
759,53.28,42.54,41.71
760,23.24,8.57,26.85
761,44.39,2.35,34.85
762,42.4,15.6,28.23
763,58.55,29.53,47.6
764,54.33,5.78,28.13
765,45.28,3.27,38.01
766,53.21,2.76,32.12
767,41.62,14.54,20.4
768,53.54,10.0,33.6
769,33.23,1.45,27.38
770,74.59,3.8,94.59
771,53.21,4.45,27.31
772,48.61,8.63,28.25
773,51.66,28.48,28.19
774,55.3,10.19,26.94
775,45.69,6.39,105.65
776,60.81,2.7,39.14
777,49.84,2.12,43.58
778,54.15,5.01,27.89
779,64.36,2.6,43.63
780,65.5,10.27,43.34
781,51.8,1.66,94.96
782,55.86,11.16,96.01
783,49.84,6.73,35.46
784,51.49,2.74,32.62
785,53.82,4.36,16.23
786,60.05,22.69,23.57
787,61.56,2.37,45.5
788,42.99,3.52,32.55
789,58.85,1.83,32.29
790,66.7,12.8,28.56
791,47.17,10.01,27.02
792,43.94,10.3,36.11
793,27.47,4.5,35.4
794,62.62,4.41,23.89
795,30.09,13.88,115.73
796,56.79,7.14,17.67
797,54.42,4.05,25.55
798,32.4,1.21,38.71
799,56.03,15.82,94.66
800,55.71,8.41,37.61
801,49.48,22.15,26.21
802,56.13,19.93,28.5
803,66.38,2.57,28.38
804,61.56,2.57,33.92
805,63.45,15.96,24.03
806,42.05,3.67,14.35
807,51.56,1.08,31.24
808,47.07,9.46,22.55
809,31.63,4.95,40.97
810,34.21,8.52,37.02
811,48.28,9.59,28.69
812,64.9,13.19,21.35
813,43.26,15.48,36.12
814,58.31,18.39,25.02
815,59.38,1.84,37.43
816,50.25,1.72,42.68
817,65.99,4.61,19.39
818,45.9,8.12,40.59
819,50.3,3.6,22.71
820,58.91,10.26,30.73
821,51.58,21.53,20.56
822,42.16,5.34,28.58
823,51.43,2.34,41.38
824,49.49,30.71,29.34
825,44.58,9.95,31.68
826,54.07,6.84,26.66
827,26.42,46.17,40.24
828,39.61,34.68,29.26
829,46.68,45.09,27.16
830,55.06,27.66,41.9
831,50.67,1.13,28.58
832,50.26,3.39,87.96
833,65.73,5.85,35.37
834,63.09,10.8,35.95
835,37.48,17.66,44.2
836,43.01,11.34,29.42
837,43.37,22.08,21.82
838,25.67,16.96,31.62
839,42.51,5.3,35.37
840,65.31,1.36,35.6
841,46.97,2.86,117.51
842,49.99,28.18,30.89
843,43.36,6.16,38.48
844,55.27,1.65,32.87
845,36.97,4.38,26.86
846,28.92,2.48,28.69
847,41.72,1.7,28.33
848,50.19,1.34,86.7
849,56.67,18.3,30.42
850,36.56,4.1,36.65
851,40.8,25.12,31.76
852,54.95,3.86,107.49
853,57.89,18.99,14.15
854,46.57,17.04,31.92
855,69.18,5.19,32.17
856,61.96,9.52,20.01
857,61.93,4.18,114.94
858,59.96,10.0,45.21
859,36.67,9.47,7.79
860,50.23,38.37,29.69
861,50.64,7.36,43.98
862,43.63,5.23,42.87
863,66.25,22.41,22.75
864,27.56,3.64,38.65
865,53.37,21.73,33.48
866,65.23,23.02,35.53
867,37.91,8.36,40.51
868,43.16,16.26,19.01
869,53.98,6.91,36.03
870,22.71,10.07,26.81
871,46.32,5.76,17.53
872,54.69,18.98,14.75
873,33.83,6.66,23.86
874,38.81,12.87,23.13
875,47.63,13.38,33.98
876,58.29,1.99,30.16
877,61.35,4.49,29.32
878,58.92,28.28,29.33
879,29.02,10.44,29.56
880,47.31,6.59,27.8
881,44.25,2.59,21.76
882,49.03,1.35,26.79
883,46.52,1.29,26.66
884,60.9,5.16,42.77
885,58.34,3.91,100.47
886,63.14,1.91,33.35
887,56.42,3.66,28.09
888,35.32,4.73,21.92
889,47.7,6.87,29.25
890,43.52,3.68,27.17
891,53.82,5.63,30.0
892,58.09,28.67,29.36
893,42.36,4.23,30.1
894,36.13,2.11,17.38
895,43.69,11.1,11.38
896,49.45,8.83,13.63
897,58.73,10.82,32.69
898,62.76,5.42,25.11
899,38.71,2.6,16.46
900,56.89,5.34,27.29
901,46.72,9.73,16.67
902,39.37,3.12,33.21
903,42.56,3.9,37.35
904,61.47,28.82,35.09
905,49.47,3.23,22.26
906,52.39,5.85,35.72
907,44.73,2.71,42.54
908,45.07,4.03,34.47
909,40.12,9.63,25.17
910,55.94,3.01,27.17
911,50.44,12.0,28.15
912,53.08,8.34,25.35
913,48.03,2.22,33.85
914,53.51,6.8,20.07
915,50.13,9.42,31.39
916,56.23,3.67,24.11
917,38.18,8.09,32.01
918,46.44,14.41,9.98
919,54.9,1.4,32.33
920,63.36,3.34,32.81
921,46.4,5.65,33.62
922,50.05,9.31,27.65
923,58.54,11.97,37.49
924,44.08,4.67,28.4
925,71.87,14.98,40.89
926,48.36,5.6,24.44
927,47.23,9.26,22.63
928,21.98,2.68,36.62
929,37.79,4.43,37.72
930,60.05,6.1,22.71
931,69.38,4.27,26.44
932,53.65,5.4,97.09
933,53.17,38.25,41.09
934,62.88,4.86,40.21
935,67.2,6.22,108.55
936,34.13,21.69,33.18
937,40.29,1.98,34.94
938,56.25,1.96,21.68
939,46.64,7.43,22.01
940,54.61,9.18,110.17
941,44.31,7.73,86.51
942,47.42,18.87,41.92
943,61.72,5.9,23.57
944,33.06,6.44,29.04
945,56.92,13.28,20.62
946,41.62,26.09,38.15
947,57.64,2.05,38.12
948,53.36,9.82,26.16
949,47.04,17.97,43.41
950,23.49,4.5,35.41
951,54.59,2.07,41.93
952,50.27,11.32,26.95
953,46.87,47.04,31.38
954,50.35,1.78,102.19
955,50.59,10.34,22.46
956,40.41,5.56,21.65
957,35.78,3.28,43.57
958,37.39,18.24,22.45
959,41.86,2.39,20.28
960,54.29,4.89,46.84
961,71.12,32.26,26.33
962,33.08,10.42,112.32
963,45.48,4.52,25.31
964,44.95,2.37,25.46
965,47.97,16.77,27.49
966,45.57,5.1,30.13
967,50.22,6.59,36.7
968,62.26,1.22,23.01
969,59.3,2.25,38.76
970,37.48,15.44,29.23
971,57.87,8.35,33.9
972,52.46,9.9,28.41
973,40.48,6.11,28.57
974,46.26,1.28,36.47
975,56.62,2.54,11.97
976,58.12,4.42,30.48
977,59.92,10.21,34.28
978,38.74,3.54,22.49
979,42.09,12.32,23.47
980,54.3,1.26,26.91
981,45.23,1.49,26.1
982,62.7,8.22,21.12
983,55.28,3.47,19.8
984,55.89,8.25,106.12
985,55.8,22.05,31.58
986,42.7,8.28,15.28
987,44.95,31.41,19.43
988,54.92,7.81,41.05
989,36.43,5.56,19.87
990,49.4,19.41,31.11
991,34.5,29.09,16.09
992,61.56,8.28,28.17
993,67.13,1.02,27.92
994,60.56,6.56,89.98
995,50.77,4.73,36.75
