,Normal_Samples,Exponential_Samples,Bimodal_Samples
82,46.7,6.01,40.5
83,48.41,6.77,37.15
84,45.67,2.35,34.87
85,54.64,18.04,27.51
86,44.63,2.75,32.65
87,42.8,8.69,32.41
88,70.01,5.59,35.07
89,62.26,5.47,10.58
90,43.0,12.56,42.61
91,61.59,5.5,27.41
92,49.63,7.83,19.01
93,54.63,22.39,20.61
94,72.45,17.15,23.75
95,39.37,17.18,103.96
96,50.21,11.64,45.94
97,52.72,4.57,48.03
98,35.62,23.69,38.25
99,50.53,1.58,43.0
100,44.62,4.99,24.05
101,53.14,9.11,28.37
102,53.82,5.77,24.27
103,42.33,7.85,28.44
104,64.95,22.75,31.54
105,45.73,3.45,27.32
106,38.37,7.05,20.32
107,59.21,5.61,34.79
108,62.37,9.92,24.02
109,52.09,15.94,32.98
110,52.47,18.23,93.49
111,59.86,1.69,99.64
112,31.14,10.85,33.57
113,49.44,20.56,30.7
114,62.48,9.43,14.2
115,46.48,16.98,28.04
116,60.53,5.89,32.77
117,61.98,4.1,26.21
118,27.92,5.39,21.42
119,70.79,14.15,26.61
120,69.87,1.53,30.98
121,50.57,12.83,25.39
122,39.47,11.83,36.22
123,61.16,19.19,33.83
124,42.24,9.39,25.5
125,45.23,6.15,26.45
126,47.2,7.65,33.67
127,38.59,16.75,41.35
128,49.13,4.34,31.91
129,35.86,1.03,84.36
130,53.07,24.3,24.77
131,43.81,5.38,34.36
132,45.81,2.79,40.43
133,51.05,7.89,85.95
134,58.0,4.31,32.32
135,33.97,11.56,30.23
136,53.11,7.79,19.34
137,65.05,15.62,28.84
138,36.78,10.36,10.21
139,55.24,1.02,35.97
140,39.46,2.57,22.99
141,58.67,1.61,34.65
142,40.97,1.41,28.55
143,58.8,11.09,24.05
144,40.32,19.0,39.48
145,40.17,9.07,26.11
146,47.22,3.86,19.57
147,34.2,3.91,23.8
148,31.36,25.36,29.42
149,61.56,15.38,27.68
150,44.01,3.53,38.07
151,49.12,8.85,38.23
152,38.37,4.08,44.28
153,48.15,24.45,37.87
154,44.19,35.41,97.48
155,54.97,3.38,24.05
156,47.16,15.36,33.88
157,42.25,7.87,19.15
158,79.87,1.63,46.56
159,39.85,3.54,32.34
160,51.19,3.52,25.24
161,44.77,6.11,31.3
162,69.25,5.48,21.98
163,63.07,6.94,30.55
164,67.21,30.51,85.84
165,66.28,7.94,101.82
166,55.55,6.16,38.17
167,70.8,3.8,110.4
168,53.84,8.24,34.89
169,45.7,4.88,26.09
170,71.79,17.26,34.62
171,40.27,6.67,28.12
172,60.41,9.55,37.04
173,47.15,40.07,29.84
174,54.3,24.8,25.58
175,37.7,61.33,22.53
176,49.03,25.7,18.73
177,61.03,1.43,31.71
178,43.68,27.74,37.15
179,49.96,2.41,14.58
180,44.72,4.14,24.39
181,54.74,4.77,99.49
182,48.43,3.78,36.21
183,36.18,5.84,20.11
184,52.21,15.05,31.55
185,57.04,2.78,33.8
186,55.11,1.19,35.94
187,74.04,4.28,30.88
188,55.87,6.49,33.5
189,57.17,8.26,43.15
190,42.2,3.44,39.65
191,38.74,6.69,32.28
192,58.85,7.41,20.72
193,39.5,3.67,37.74
194,52.16,4.87,33.66
195,43.55,13.48,14.4
196,29.29,3.2,26.35
197,66.7,2.34,32.66
198,61.82,2.77,34.52
199,46.2,4.78,28.73
200,47.75,34.44,6.79
201,48.75,14.86,28.83
202,58.27,6.35,23.31
203,70.75,17.21,38.78
204,44.16,2.58,37.38
205,58.66,33.02,30.61
206,53.36,25.7,27.52
207,54.71,12.51,30.28
208,43.19,1.05,34.87
209,41.17,6.58,33.19
210,63.61,2.33,30.91
211,65.15,11.98,25.04
212,43.42,1.38,32.92
213,39.9,19.08,32.41
214,59.3,4.1,23.21
215,55.18,3.75,98.52
216,42.1,24.6,27.27
217,36.12,3.74,39.68
218,49.59,27.04,8.39
219,57.3,7.21,35.94
220,45.8,4.84,38.36
221,55.39,9.0,31.21
222,60.29,3.89,30.94
223,50.01,4.34,33.26
224,59.56,2.03,18.42
225,56.13,3.14,21.61
226,61.67,12.73,120.13
227,62.17,4.04,25.08
228,60.45,29.42,31.06
229,34.83,4.27,34.35
230,48.04,5.11,28.52
231,58.19,13.38,30.99
232,60.21,35.31,24.44
233,42.68,25.9,33.94
234,44.59,20.73,27.47
235,69.41,28.93,28.61
236,53.5,12.67,35.03
237,50.61,14.93,16.86
238,51.07,1.21,35.55
239,32.37,19.4,39.76
240,61.72,24.34,39.72
241,60.75,7.02,33.46
242,39.9,1.34,36.99
243,51.51,1.56,40.21
244,40.45,10.59,20.63
245,39.85,13.03,116.29
246,32.97,3.27,17.74
247,43.27,1.89,16.29
248,50.51,2.45,104.54
249,25.15,1.74,36.09
250,56.57,2.71,33.1
251,56.67,11.59,4.77
252,42.61,24.79,41.46
253,31.21,1.57,26.28
254,50.72,7.24,18.13
255,55.25,20.51,32.51
256,37.38,2.54,22.73
257,52.22,25.75,37.17
258,39.2,4.23,27.79
259,81.08,7.32,28.99
260,34.45,27.28,15.8
261,37.97,17.58,29.8
262,59.2,27.56,44.06
263,45.58,14.0,40.21
264,34.09,5.89,32.39
265,42.1,19.54,34.07
266,48.59,1.56,35.59
267,55.69,5.27,27.85
268,56.93,6.4,25.38
269,58.62,14.56,45.57
270,60.74,10.58,27.74
271,44.28,3.92,86.88
272,31.47,15.69,103.73
273,61.48,1.7,86.08
274,30.97,11.27,22.0
275,55.68,14.26,26.74
276,50.02,7.05,28.17
277,59.09,31.38,30.86
278,54.13,19.41,26.37
279,42.02,2.53,22.91
280,60.81,3.44,26.0
281,53.94,3.34,31.96
282,54.32,14.06,17.13
283,59.51,10.11,31.09
284,55.68,15.29,30.47
285,36.71,28.81,44.58
286,45.31,1.14,33.2
287,50.56,7.42,37.57
288,49.07,3.03,23.28
289,47.3,34.57,23.72
290,51.53,4.99,39.24
291,67.25,21.54,25.27
292,43.98,5.83,30.54
293,50.59,8.94,24.41
294,54.77,26.79,35.28
295,59.27,5.76,32.02
296,44.02,11.78,26.97
297,58.56,3.72,96.23
298,65.88,1.46,20.31
299,55.97,3.72,29.3
300,45.96,6.12,37.72
301,60.01,4.3,32.61
302,51.52,28.69,23.84
303,45.52,14.61,36.52
304,42.24,11.85,28.94
305,44.05,5.95,24.5
306,52.05,5.62,35.22
307,45.68,12.4,29.53
308,55.66,1.97,22.94
309,43.15,3.25,16.64
310,50.0,2.26,15.95
311,42.24,23.01,38.09
312,47.28,2.21,34.36
313,57.46,35.55,38.1
314,53.51,20.98,21.9
315,53.31,45.38,117.98
316,63.05,1.74,29.11
317,60.5,12.73,33.53
318,50.15,11.66,20.73
319,64.58,3.3,15.44
320,50.84,14.48,26.05
321,59.23,13.16,26.88
322,57.99,5.6,21.58
323,47.46,14.47,24.21
324,56.9,8.12,27.67
325,68.86,1.74,34.61
326,48.79,7.57,28.72
327,51.94,4.36,12.41
328,40.95,10.71,39.29
329,63.15,1.67,38.66
330,41.14,13.41,33.07
331,57.23,5.31,84.84
332,43.03,24.4,26.15
333,39.17,19.04,103.77
334,43.88,5.28,34.13
335,55.3,21.14,18.23
336,49.27,39.57,41.19
337,69.93,5.0,26.46
338,54.16,13.87,29.85
339,51.54,6.94,21.48
340,54.86,2.12,23.64
341,41.41,7.69,32.55
342,63.06,2.19,35.76
343,42.4,5.13,108.85
344,60.28,17.96,41.49
345,56.01,19.14,18.89
346,53.11,3.82,48.58
347,55.64,16.32,32.61
348,58.7,17.46,16.53
349,77.97,28.42,27.78
350,50.09,12.4,45.26
351,47.92,11.24,40.92
352,49.14,7.67,18.83
353,40.81,6.83,34.47
354,51.42,6.32,29.95
355,33.6,4.6,13.48
356,55.66,1.99,46.3
357,60.83,12.5,20.0
358,44.05,3.62,40.27
359,41.14,8.79,23.75
360,54.9,15.16,36.61
361,58.38,2.82,35.93
362,46.19,9.79,20.94
363,55.18,3.75,38.73
364,81.93,4.45,33.04
365,55.65,4.94,27.33
366,38.09,5.78,10.82
367,49.32,8.08,31.96
368,25.03,1.04,34.26
369,53.46,1.74,38.18
370,53.02,9.16,22.44
371,44.86,10.32,20.36
372,72.98,1.7,48.0
373,48.79,6.61,30.11
374,47.94,20.09,24.02
375,42.48,15.34,31.13
376,62.78,2.34,27.48
377,57.22,5.8,14.82
378,83.82,2.05,36.62
379,56.48,27.41,40.26
380,40.51,5.37,14.12
381,44.2,3.3,21.0
382,55.08,10.34,23.26
383,57.16,13.74,15.58
384,64.27,5.06,29.75
385,59.59,21.27,35.44
386,60.35,47.61,24.8
387,68.2,6.29,8.29
388,46.19,3.11,22.25
389,24.05,10.81,30.88
390,72.8,9.2,40.83
391,43.62,5.7,26.24
392,51.8,12.29,95.21
393,59.08,1.92,28.55
394,38.04,3.01,23.92
395,70.06,1.4,21.86
396,38.48,8.13,41.39
397,48.1,27.21,11.91
398,32.8,1.72,26.28
399,58.91,1.3,31.39
400,58.03,2.11,22.42
401,49.05,10.65,93.26
402,55.1,5.8,30.02
403,44.02,7.18,30.32
404,56.95,1.53,87.59
405,42.19,9.31,23.8
406,54.05,1.02,34.51
407,48.12,1.27,31.24
408,62.92,2.82,46.82
409,53.59,21.7,25.91
410,45.97,1.57,22.52
411,65.73,4.38,44.77
412,33.44,12.38,22.2
413,43.08,16.45,98.63
414,60.66,2.96,31.87
415,47.88,16.73,25.24
416,43.58,3.09,32.35
417,39.66,4.78,27.23
418,44.04,1.74,29.65
419,51.5,3.35,27.09
420,46.1,5.73,28.67
421,47.17,6.47,39.25
422,47.66,20.98,28.65
423,48.89,19.54,30.02
424,30.12,13.79,32.06
425,41.0,10.76,30.69
426,59.15,16.62,30.11
427,55.54,31.18,20.19
428,49.94,6.72,23.9
429,45.91,21.22,37.14
430,52.05,1.22,89.01
431,47.86,3.89,41.65
432,37.24,14.12,40.3
433,49.55,4.06,27.81
434,49.82,18.82,29.36
435,47.33,2.55,30.69
436,59.08,1.83,99.22
437,51.17,1.41,18.43
438,48.33,8.03,20.09
439,51.3,11.39,31.46
440,48.09,2.79,30.21
441,44.27,5.11,31.46
442,45.21,1.76,30.62
443,39.59,10.37,32.83
444,61.67,1.42,29.49
445,56.64,2.43,26.81
446,48.45,5.97,111.37
447,44.74,7.78,97.19
448,69.89,5.89,37.52
449,52.17,3.88,36.09
450,57.27,1.5,29.99
451,49.49,6.94,34.67
452,55.33,6.55,88.3
453,49.47,2.16,31.81
454,49.26,2.26,37.67
455,55.69,27.9,32.08
456,41.19,6.46,110.94
457,53.49,1.2,36.23
458,60.32,1.35,15.02
459,50.38,7.11,42.57
460,68.9,1.1,34.97
461,43.57,30.37,25.19
462,46.52,2.57,35.92
463,54.01,2.06,20.64
464,33.44,13.33,29.59
465,55.83,2.01,100.44
466,63.62,1.27,16.11
467,40.36,3.13,44.31
468,59.66,5.27,94.59
469,54.06,13.86,29.31
470,42.77,4.34,28.38
471,39.13,18.76,23.8
472,49.84,2.79,17.64
473,47.36,14.28,23.19
474,56.45,29.67,33.87
475,54.5,3.64,32.47
476,42.0,1.31,27.42
477,39.66,6.5,32.52
478,47.63,1.24,17.93
479,41.01,9.14,18.04
480,64.07,5.07,40.49
481,55.12,14.98,21.86
482,38.29,8.49,25.17
483,43.78,18.51,28.0
484,44.22,11.29,36.99
485,51.16,10.59,15.46
486,51.21,6.06,31.99
487,62.58,24.0,107.48
488,38.41,26.76,26.12
489,49.21,3.77,48.85
490,41.38,12.3,33.14
491,37.36,6.43,30.84
492,47.37,24.9,37.67
493,51.86,7.16,23.56
494,54.35,10.09,25.13
495,27.93,6.31,29.31
496,58.24,1.97,37.3
497,33.13,24.29,23.5
498,49.77,3.83,43.71
499,44.49,1.11,29.55
500,51.05,1.81,102.43
501,52.66,10.26,26.26
502,36.8,2.32,27.0
503,46.82,16.8,35.7
504,47.65,11.08,31.25
505,56.21,14.09,35.7
506,60.33,4.71,40.76
507,51.65,5.0,20.97
508,65.15,3.47,48.07
509,51.72,29.57,13.28
510,28.2,2.44,36.53
511,47.15,2.83,31.21
512,49.65,4.65,30.32
513,57.62,2.13,26.92
514,41.61,5.46,24.71
515,60.58,3.87,27.96
516,63.76,8.17,39.66
517,32.18,28.0,29.52
518,35.89,2.99,35.39
519,56.42,11.77,45.67
520,43.47,22.47,36.65
521,50.86,1.79,52.75
522,54.44,1.18,38.02
523,46.04,6.16,11.91
524,40.58,14.41,26.27
525,62.18,6.18,92.49
526,44.24,2.51,20.97
527,48.4,10.44,26.78
528,53.64,1.24,100.88
529,50.7,9.49,100.7
530,53.21,4.5,102.06
531,49.43,5.91,36.66
532,44.75,8.85,40.72
533,44.06,28.42,14.02
534,49.43,3.84,19.32
535,58.1,23.98,29.14
536,42.41,3.98,89.15
537,32.71,10.69,41.57
538,65.99,8.95,24.12
539,44.86,39.83,15.6
540,41.67,3.25,26.09
541,51.26,1.89,99.71
542,54.81,3.13,28.44
543,50.55,17.17,115.35
544,56.87,2.09,89.57
545,26.63,46.04,36.54
546,56.32,2.98,103.8
547,50.24,4.12,21.71
548,37.12,18.52,16.6
549,48.07,1.29,25.33
550,46.82,50.24,13.66
551,55.19,2.4,29.99
552,61.92,8.45,36.24
553,40.37,9.95,24.02
554,35.74,9.67,28.91
555,61.01,4.16,2.32
556,37.99,8.2,37.44
557,43.24,2.87,37.76
558,48.11,7.49,38.93
559,52.85,6.13,22.72
560,42.2,2.24,30.33
561,53.9,4.09,24.85
562,60.93,31.99,112.35
563,45.88,1.78,25.6
564,50.9,7.15,24.32
565,40.96,13.23,18.19
566,41.67,21.5,37.49
567,36.59,7.14,33.48
568,38.03,3.81,29.7
569,50.9,29.8,35.11
570,60.26,11.87,20.26
571,58.11,1.96,24.8
572,32.37,6.72,29.98
573,35.71,7.94,34.18
574,48.39,25.57,27.77
575,60.96,13.72,23.53
576,65.08,9.8,24.57
577,60.53,11.23,24.98
578,44.57,13.78,50.92
579,36.7,22.97,37.28
580,50.26,4.8,89.34
581,56.42,8.96,34.47
582,55.52,9.53,17.98
583,56.23,5.89,35.78
584,67.43,2.88,38.96
585,62.13,20.81,34.06
586,51.09,7.31,96.67
587,47.34,16.11,28.65
588,45.78,13.14,19.6
589,52.61,2.13,23.91
590,62.89,19.18,17.54
591,59.38,4.95,106.58
592,46.71,17.15,29.81
593,51.25,28.91,35.82
594,70.66,17.88,23.9
595,59.82,5.88,28.34
596,53.57,23.31,118.34
597,49.36,7.84,24.62
598,48.9,9.06,40.69
599,46.84,8.74,33.75
600,64.39,3.74,25.46
601,43.75,6.36,97.34
602,37.02,9.97,16.94
603,67.61,1.67,46.68
604,52.06,2.16,20.34
605,50.38,4.92,31.69
606,55.14,18.17,35.84
607,48.29,18.63,35.06
608,52.67,23.96,40.08
609,51.6,5.51,29.59
610,52.27,7.76,29.53
611,45.56,17.66,37.6
612,47.43,24.22,102.56
613,64.96,8.69,21.34
614,60.35,11.21,23.69
615,39.44,36.82,17.83
616,34.34,33.32,25.69
617,75.63,5.03,93.79
618,62.77,8.97,34.61
619,42.43,6.8,34.4
620,41.16,13.47,104.6
621,56.09,24.15,25.75
622,56.79,3.43,30.48
623,38.84,9.79,27.0
624,47.84,9.5,31.43
625,35.68,2.25,39.03
626,36.98,8.26,25.01
627,52.55,10.92,41.46
628,35.65,23.05,34.32
629,59.0,26.75,32.5
630,51.78,2.26,9.63
631,45.99,9.19,32.36
632,64.76,3.26,41.12
633,49.52,2.98,105.71
634,31.83,16.5,112.08
635,46.12,5.8,38.3
636,38.37,11.08,33.23
637,44.97,2.57,24.72
638,33.98,29.48,19.38
639,48.62,16.88,29.24
640,39.05,30.84,34.66
641,46.68,2.82,36.14
642,58.83,6.01,24.54
643,62.7,13.3,38.47
644,49.51,1.13,30.63
645,40.15,2.43,33.82
646,37.33,14.07,25.4
647,62.61,2.84,104.68
648,49.73,1.46,31.63
649,39.66,8.89,26.38
650,50.69,2.14,41.4
651,44.6,2.14,33.19
652,53.82,7.05,23.33
653,58.19,8.94,16.16
654,59.06,2.58,29.86
655,36.32,8.34,23.32
656,50.29,6.93,32.0
657,58.43,8.25,24.83
658,45.71,1.99,37.41
659,37.52,1.53,12.02
660,50.59,17.78,16.38
661,63.25,1.75,35.91
662,55.9,42.08,41.95
663,57.12,1.42,24.39
664,54.79,4.03,37.49
665,62.57,4.1,103.51
666,48.76,19.96,30.82
667,29.26,2.02,27.24
668,49.51,6.57,36.59
669,65.54,3.67,39.98
670,45.87,4.56,32.95
671,9.13,1.23,34.27
672,50.58,20.51,31.07
673,62.61,10.04,19.2
674,46.51,22.41,21.57
675,46.25,2.67,14.04
676,36.29,14.09,16.42
677,31.93,2.06,14.67
678,66.87,21.48,23.89
679,59.83,3.98,36.33
680,54.79,13.73,103.04
681,46.94,15.54,32.59
682,46.78,7.86,27.16
683,36.95,7.84,33.01
684,50.61,8.45,89.61
685,48.23,5.53,85.85
686,42.99,10.48,36.11
687,29.49,1.61,27.99
688,40.74,11.59,30.17
689,62.36,20.62,29.95
690,45.55,9.72,16.69
691,42.6,2.28,34.17
692,45.98,17.3,18.82
693,54.53,11.13,36.25
694,67.32,10.13,37.6
695,76.62,2.88,32.46
696,45.6,5.22,27.16
697,46.17,1.74,34.32
698,59.05,1.24,27.28
699,70.55,12.97,30.12
700,55.08,1.24,15.04
701,60.1,8.56,26.59
702,48.47,1.56,42.42
703,64.76,8.34,48.96
704,63.57,14.15,30.78
705,51.01,2.58,29.39
706,41.02,6.17,44.0
707,70.37,3.91,27.77
708,38.58,6.14,31.32
709,59.25,30.83,101.35
710,46.91,9.65,28.75
711,69.29,2.25,111.33
712,61.36,3.1,17.07
713,53.2,5.9,32.57
714,60.05,1.73,26.43
715,44.08,12.52,29.37
716,32.95,13.58,37.07
717,50.22,1.74,22.23
718,46.26,16.15,96.95
719,38.76,14.23,32.9
720,50.59,2.3,22.22
721,56.02,1.92,24.38
722,51.03,62.34,33.24
723,35.44,9.92,37.79
724,51.85,31.16,104.88
725,41.52,9.99,87.48
726,60.59,3.54,30.12
727,35.84,10.89,19.2
728,44.43,18.0,25.81
729,44.08,29.52,112.01
730,52.14,21.65,12.47
731,64.57,6.62,36.85
732,47.42,13.65,36.07
733,44.75,3.48,21.38
734,45.0,5.97,37.26
735,43.43,2.14,43.02
736,54.76,8.63,34.53
737,46.37,13.76,36.17
738,45.47,19.38,31.06
739,42.53,12.48,18.83
740,59.38,14.77,33.15
741,59.54,4.34,34.06
742,56.94,15.68,121.46
743,62.56,8.89,27.72
744,39.94,21.66,24.37
745,44.29,3.84,40.47
746,71.72,4.73,24.87
747,53.81,2.56,16.82
748,57.86,18.8,18.26
749,35.36,6.38,28.16
750,53.02,5.25,28.96
751,35.75,10.36,38.2
752,46.06,1.06,38.28
753,55.23,12.55,117.48
754,51.11,3.65,97.23
755,52.52,6.9,18.87
756,39.12,17.8,92.59
757,56.14,2.28,30.43
758,40.16,10.37,27.77
759,50.49,5.41,92.79
760,59.77,13.57,35.38
761,28.89,1.77,29.89
762,43.74,24.0,32.24
763,43.09,44.61,28.67
764,52.56,25.03,29.6
765,38.06,11.15,45.18
766,50.81,18.62,40.18
767,42.32,4.88,22.81
768,51.73,10.43,108.47
769,47.27,4.64,35.3
770,43.92,19.06,33.86
771,42.61,3.68,50.26
772,37.96,44.21,23.79
773,54.96,1.88,13.24
774,39.49,12.65,29.95
775,61.31,7.94,24.79
776,33.53,4.51,34.65
777,29.48,4.58,13.43
778,32.68,19.97,103.12
779,66.01,15.16,34.84
780,36.14,8.55,44.06
781,52.17,5.48,22.41
782,48.09,2.16,36.27
783,61.92,46.3,35.62
784,36.51,6.16,37.76
785,40.74,5.02,27.41
786,56.51,12.94,41.96
787,68.52,22.53,33.29
788,60.1,14.37,32.76
789,47.68,3.17,22.18
790,48.42,20.27,34.27
791,57.41,29.36,51.57
792,48.36,10.8,27.23
793,61.36,3.9,35.34
794,57.26,4.85,27.54
795,49.5,4.75,39.67
796,52.19,3.07,18.62
797,62.36,8.03,30.28
798,43.38,24.9,37.1
799,48.23,4.77,31.22
800,48.29,89.12,19.32
801,41.1,8.35,113.71
802,54.38,11.03,27.2
803,32.62,20.31,23.58
804,47.39,5.55,28.25
805,49.71,4.89,39.5
806,33.69,4.93,32.25
807,29.13,4.63,106.53
808,44.66,23.01,25.34
809,49.83,3.71,55.06
810,54.2,8.39,31.86
811,62.44,16.39,27.83
812,29.45,10.27,21.89
813,37.42,27.71,28.0
814,42.91,43.33,21.41
815,35.99,2.44,29.12
816,44.65,39.62,30.71
817,34.94,4.96,21.41
818,48.86,6.14,34.94
819,63.63,4.53,33.82
820,64.33,6.91,103.97
821,51.33,9.03,38.16
822,58.49,5.27,18.11
823,54.78,3.28,27.19
824,50.29,6.36,13.77
825,40.37,16.1,12.63
826,68.34,5.53,29.94
827,54.39,10.53,33.16
828,51.38,5.39,20.93
829,48.45,5.73,34.27
830,59.8,4.33,30.6
831,55.37,1.56,24.98
832,70.3,7.63,30.36
833,39.56,8.36,25.28
834,58.97,5.93,33.22
835,55.28,1.69,32.09
836,36.37,6.74,24.98
837,55.57,8.45,33.01
838,49.05,16.95,100.26
839,55.07,26.53,87.51
840,48.82,3.02,36.45
841,45.43,14.4,95.45
842,43.32,27.15,37.36
843,47.64,7.5,35.92
844,63.86,2.5,28.48
845,62.4,11.11,25.85
846,54.37,10.18,37.22
847,54.92,10.76,30.21
848,44.75,11.66,39.88
849,47.97,31.8,107.77
850,49.53,12.41,42.31
851,72.61,1.73,37.66
852,42.99,4.26,35.4
853,64.53,19.67,16.09
854,55.1,5.7,32.26
855,71.52,2.13,28.14
856,34.68,1.17,111.28
857,57.46,3.75,48.63
858,60.91,9.26,36.02
859,43.55,20.92,27.84
860,42.66,9.97,38.34
861,33.43,1.79,35.91
862,63.71,3.41,23.6
863,64.0,10.17,29.62
864,51.29,6.09,19.54
865,43.65,10.52,26.07
866,58.75,10.78,24.97
867,62.15,13.43,92.22
868,36.05,1.28,25.78
869,47.51,4.73,27.92
870,48.44,1.43,23.87
871,45.22,3.68,43.37
872,55.44,5.0,94.77
873,30.65,1.88,42.75
874,52.69,18.19,35.94
875,56.94,8.99,26.02
876,54.28,6.37,25.5
877,32.59,2.61,36.49
878,46.57,23.7,26.78
879,59.29,4.78,17.65
880,50.48,1.45,30.34
881,51.46,13.93,36.88
882,30.83,25.03,32.25
883,63.08,1.43,103.48
884,60.94,19.21,17.12
885,49.03,29.16,24.54
886,50.7,7.15,30.29
887,36.63,9.35,31.24
888,69.39,38.1,22.33
889,63.89,16.71,37.38
890,40.88,2.8,113.08
891,49.18,20.93,103.94
892,39.16,9.52,24.95
893,53.02,2.1,44.49
894,63.86,6.3,27.66
895,54.66,8.68,31.47
896,24.49,10.6,29.78
897,50.15,35.24,23.8
898,48.32,20.43,30.09
899,47.23,9.42,34.36
900,58.03,1.94,26.52
901,46.13,15.26,21.64
902,63.8,1.81,45.92
903,70.71,10.5,17.2
904,57.58,6.41,29.07
905,37.12,16.18,105.93
906,48.36,1.35,32.21
907,39.55,28.71,25.56
908,53.0,20.47,17.68
909,56.29,1.87,24.95
910,43.05,1.41,21.12
911,37.09,5.54,18.23
912,53.16,2.75,34.39
913,67.03,34.52,37.64
914,40.74,1.3,28.24
915,49.96,8.55,86.32
916,51.27,18.08,21.69
917,48.19,1.69,20.59
918,48.92,7.86,33.07
919,76.08,5.08,110.85
920,41.22,3.16,33.84
921,54.5,5.46,31.86
922,56.0,3.91,23.17
923,57.94,26.6,22.57
924,52.59,21.69,109.3
925,48.74,6.81,45.31
926,57.85,14.09,41.4
927,39.4,1.37,25.23
928,58.35,8.67,34.68
929,44.88,19.99,37.77
930,33.73,21.36,25.51
931,53.19,8.27,27.38
932,63.99,25.77,5.22
933,41.44,1.44,17.5
934,50.39,20.24,24.15
935,36.81,2.45,28.93
936,42.6,3.43,26.84
937,43.3,6.78,29.93
938,54.09,3.89,16.54
939,60.76,6.06,28.09
940,56.55,1.97,32.83
941,58.04,28.67,34.7
942,34.27,22.36,37.76
943,51.79,1.49,37.82
944,61.38,7.61,20.18
945,38.79,10.59,40.38
946,47.52,32.42,105.45
947,56.36,1.84,34.68
948,29.56,14.77,31.0
949,51.11,6.73,46.18
950,50.51,6.37,45.7
951,56.58,1.99,28.81
952,23.02,3.4,115.78
953,42.47,26.33,22.37
954,50.51,1.38,27.01
955,23.54,3.75,106.76
956,36.59,4.94,100.87
957,57.03,26.4,25.8
958,61.99,6.78,45.12
959,45.32,1.12,29.03
960,39.34,1.42,29.57
961,46.04,3.95,94.44
962,37.7,12.07,48.71
963,60.51,6.6,27.69
964,52.71,11.55,37.53
965,51.09,8.36,32.35
966,46.88,6.0,42.67
967,67.77,11.02,34.24
968,58.56,16.12,112.29
969,58.76,12.99,28.62
970,57.27,4.0,25.9
971,38.58,14.99,36.61
972,57.17,28.78,40.2
973,67.28,4.93,21.95
974,47.5,26.52,27.68
975,62.25,2.91,36.65
976,55.62,6.25,9.93
977,53.33,7.85,40.6
978,55.74,16.99,113.97
979,48.86,11.82,24.45
980,51.05,10.77,17.73
981,62.98,10.25,34.42
982,46.29,4.73,29.72
983,52.85,6.78,31.03
984,39.18,1.14,39.16
985,52.6,11.81,34.17
986,37.16,8.1,35.4
987,32.85,33.8,20.18
988,70.17,6.94,36.43
989,53.64,4.29,22.93
990,34.45,10.24,22.77
991,65.08,4.55,86.99
992,33.85,8.01,107.54
993,41.49,17.86,37.88
994,49.55,16.93,23.15
995,34.9,3.32,30.69
